A̱o,Primaria_respecto_rango_edad,Secundaria_respecto_rango_edad,Secundaria_respecto_primaria,terciaria_respecto_rango_edad
1976,109.667999267578,34.9787406921387,76.54336,9.85260963439941
1977,112.799263000488,37.8175201416016,74.71897,9.71020984649658
1978,113.264251708984,39.4266090393066,79.96343,10.8819599151611
1979,118.713851928711,42.7145385742188,80.78545,12.0415697097778
1980,120.720458984375,45.269660949707,79.40563,13.4319496154785
1981,122.440101623535,48.4401512145996,85.81428,14.2288198471069
1982,122.657852172852,52.8217086791992,84.61148,14.7933797836304
1984,122.203689575195,56.7537612915039,79.93332,15.3578300476074
1986,118.460670471191,58.071460723877,82.03257,15.7746801376343
1987,116.937507629395,58.0802383422852,81.36485,15.5330400466919
1988,114.807052612305,57.8499183654785,81.58772,16.2346305847168
1989,113.69416809082,57.4399795532227,80.62197,15.7984304428101
1990,112.252632141113,56.109260559082,80.71521,15.424880027771
1991,111.34619140625,54.7870788574219,80.99297,14.951189994812
1993,110.550148010254,55.4769515991211,84.02887,14.3523597717285
1994,109.838287353516,56.8718109130859,85.94838,14.8462200164795
1996,108.69319152832,61.0874290466309,85.50552,16.5788097381592
1999,108.592819213867,69.2017669677734,90.08133,19.280179977417
2000,108.997932434082,71.7650299072266,90.62801,20.4910106658936
2001,109.072189331055,73.4356689453125,92.74999,21.2629203796387
2002,109.425003051758,76.0056076049805,93.30758,22.1058502197266
2003,109.506141662598,79.8640289306641,94.10595,22.8839702606201
2004,108.999183654785,81.427490234375,94.28875,23.6608104705811
2005,108.60083770752,82.3040771484375,94.33534,24.2164001464844
2006,108.174766540527,84.0856018066406,94.69763,24.7904300689697
2007,108.799713134766,84.9070510864258,94.24679,25.4210605621338
2008,109.424423217773,86.4275283813477,94.86564,26.1120300292969
2009,110.545280456543,85.9380111694336,95.30712,26.5867290496826
2010,110.633491516113,87.0699234008789,96.35422,27.5634708404541
2011,110.540756225586,88.1901779174805,96.85811,28.3414993286133
2012,110.413452148438,90.6671981811523,96.54607,29.4718399047852
2013,109.441482543945,93.3275527954102,96.77148,30.3000392913818
2014,108.005752563477,97.3433837890625,97.06493,31.0941390991211
2015,106.606109619141,100.832740783691,96.22451,31.8190402984619
2016,106.277732849121,102.40406036377,96.57231,38.4333801269531
